order_number,order_date,line_items,fulfillment
1528014,2019-03-08,"[
  {
    ""product"": {
      ""product_name"": ""MGS Age of Empires II: The Age of Kings E126"",
      ""product_price"": 46.8
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 48 DVD Storage Binder M50 Silver"",
      ""product_price"": 17.99
    },
    ""quantity"": 3
  }
]",In store
1587003,2019-05-06,"[
  {
    ""product"": {
      ""product_name"": ""MGS Flight Simulator X M250"",
      ""product_price"": 70.13
    },
    ""quantity"": 1
  }
]",In store
1599043,2019-05-18,"[
  {
    ""product"": {
      ""product_name"": ""WWI LCD22W M2003 Black"",
      ""product_price"": 679
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Wall Lamp E3150 Black"",
      ""product_price"": 101.99
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""WWI Floor Lamp M215 Black"",
      ""product_price"": 339
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI Projector 720p DLP56 Silver"",
      ""product_price"": 999
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works 52 LCD HDTV X590 Silver"",
      ""product_price"": 2899.99
    },
    ""quantity"": 4
  }
]",In store
1618024,2019-06-06,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Expandable 2-Handset Cordless Phone System M205 White"",
      ""product_price"": 40.19
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Gold"",
      ""product_price"": 289
    },
    ""quantity"": 1
  }
]",In store
1625021,2019-06-13,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 60 DVD Storage Binder L20 Black"",
      ""product_price"": 22.89
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Pulse Smart pen M100 White"",
      ""product_price"": 199.95
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Travel Charger for S-Series Battery E302 Black"",
      ""product_price"": 59.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games women M400 Silver"",
      ""product_price"": 8.99
    },
    ""quantity"": 3
  }
]",In store
1634000,2019-06-22,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 13 Color TV E25 White"",
      ""product_price"": 119.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games for 12-16 boys E600 Yellow"",
      ""product_price"": 4.99
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 1GB Digital Voice Recorder Pen E100 Red"",
      ""product_price"": 156
    },
    ""quantity"": 4
  }
]",In store
1639015,2019-06-27,"[
  {
    ""product"": {
      ""product_name"": ""MGS Halo 2 for Windows Vista M220"",
      ""product_price"": 70.13
    },
    ""quantity"": 7
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Budget Moviemaker 2/3'' 17mm E100 Grey"",
      ""product_price"": 410
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Spy Video Recorder Pen M300 Purple"",
      ""product_price"": 181
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games for students E400 Silver"",
      ""product_price"": 6.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Expandable 4-Handset Cordless Phone System M206 Black"",
      ""product_price"": 43.81
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.60 ED160 Silver"",
      ""product_price"": 269.95
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""MGS Zoo Tycoon 2 E108"",
      ""product_price"": 56
    },
    ""quantity"": 4
  }
]",In store
1657003,2019-07-15,"[
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games men M300 Red"",
      ""product_price"": 6.89
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC2.33 X2330 Silver"",
      ""product_price"": 919
    },
    ""quantity"": 6
  }
]",In store
1666019,2019-07-24,"[
  {
    ""product"": {
      ""product_name"": ""MGS Train Simulator E124"",
      ""product_price"": 50.54
    },
    ""quantity"": 1
  }
]",In store
1668015,2019-07-26,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 4G MP3 Player E400 Black"",
      ""product_price"": 59.99
    },
    ""quantity"": 2
  }
]",In store
1669018,2019-07-27,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Conversion Lens M550 Blue"",
      ""product_price"": 205
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones - CRT M11 Grey"",
      ""product_price"": 189
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD Player M120 White"",
      ""product_price"": 58.99
    },
    ""quantity"": 4
  }
]",In store
1680019,2019-08-07,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 13 Color TV E25 Silver"",
      ""product_price"": 119.99
    },
    ""quantity"": 3
  }
]",In store
1701018,2019-08-28,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 40 LCD HDTV M690 Black"",
      ""product_price"": 1184.97
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Zoo Tycoon 2: African Adventure 2008 E136"",
      ""product_price"": 43
    },
    ""quantity"": 1
  }
]",In store
1709012,2019-09-05,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Phone Tough Skin Case E140 Black"",
      ""product_price"": 23.72
    },
    ""quantity"": 2
  }
]",Online
1711012,2019-09-07,"[
  {
    ""product"": {
      ""product_name"": ""Reusable Phone Screen Protector E120"",
      ""product_price"": 2.94
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""MGS Age of Empires, 2009 E182"",
      ""product_price"": 32
    },
    ""quantity"": 7
  }
]",In store
1715004,2019-09-11,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 14-Inch Player Portable L100 Silver"",
      ""product_price"": 259.99
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Grey"",
      ""product_price"": 190
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""MGS MechWarrior 4: Vengeance X800"",
      ""product_price"": 104.89
    },
    ""quantity"": 1
  }
]",In store
1731020,2019-09-27,"[
  {
    ""product"": {
      ""product_name"": ""MGS Kings & Myths: The Age Collection2009 E147"",
      ""product_price"": 43
    },
    ""quantity"": 6
  }
]",Online
1735000,2019-10-01,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Transmitter and Bluetooth Headphones M150 Red"",
      ""product_price"": 149.99
    },
    ""quantity"": 2
  }
]",In store
1737027,2019-10-03,"[
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1800 Brown"",
      ""product_price"": 229.9
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso SLR Camera X143 Silver"",
      ""product_price"": 646
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""A. Datum Ultra Compact Digital Camera M190 Silver"",
      ""product_price"": 165
    },
    ""quantity"": 7
  }
]",In store
1739033,2019-10-05,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA Palm 4.7 inch L850 Silver"",
      ""product_price"": 398
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1800 White"",
      ""product_price"": 229.9
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""WWI Stereo Bluetooth Headphones New Generation M370 Orange"",
      ""product_price"": 132.99
    },
    ""quantity"": 3
  }
]",In store
1751011,2019-10-17,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Transmitter and Bluetooth Headphones M150 Red"",
      ""product_price"": 149.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Freelancer E113"",
      ""product_price"": 28
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Conversion Lens M550 Silver"",
      ""product_price"": 205
    },
    ""quantity"": 1
  }
]",In store
1753031,2019-10-19,"[
  {
    ""product"": {
      ""product_name"": ""WWI 1GBPulse Smart pen E50 Black"",
      ""product_price"": 149.95
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD Player M100 Black"",
      ""product_price"": 56.99
    },
    ""quantity"": 3
  }
]",In store
1769017,2019-11-04,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 19 Color Digital TV E35 Black"",
      ""product_price"": 143.4
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.60 ED160 Brown"",
      ""product_price"": 269.95
    },
    ""quantity"": 3
  }
]",In store
1779006,2019-11-14,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Finger Touch Screen Phones M30 Black"",
      ""product_price"": 199
    },
    ""quantity"": 7
  }
]",In store
1798015,2019-12-03,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Microsoft Windows Mobile M200 White"",
      ""product_price"": 229
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Microwave 1.5CuFt X1100 Black"",
      ""product_price"": 665.94
    },
    ""quantity"": 8
  }
]",In store
1800023,2019-12-05,"[
  {
    ""product"": {
      ""product_name"": ""Proseware High Speed Laser M2000 Green"",
      ""product_price"": 209
    },
    ""quantity"": 9
  }
]",In store
1812007,2019-12-17,"[
  {
    ""product"": {
      ""product_name"": ""A. Datum SLR Camera 35 X358 Orange"",
      ""product_price"": 588
    },
    ""quantity"": 9
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED182 Brown"",
      ""product_price"": 499.9
    },
    ""quantity"": 4
  }
]",In store
1813002,2019-12-18,"[
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 38 DVD Storage Binder E25 Red"",
      ""product_price"": 9.99
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games for students E400 Black"",
      ""product_price"": 6.99
    },
    ""quantity"": 7
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Smart phones Unlocked International M800 Grey"",
      ""product_price"": 310
    },
    ""quantity"": 7
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Business Videographer 1'' 25mm M600 Black"",
      ""product_price"": 888
    },
    ""quantity"": 3
  }
]",In store
1820019,2019-12-25,"[
  {
    ""product"": {
      ""product_name"": ""Headphone Adapter for Contoso Phone E130 White"",
      ""product_price"": 9.99
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Wireless Photo All-in-One Printer M390 Grey"",
      ""product_price"": 188
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 7-Inch Player Portable E200 Silver"",
      ""product_price"": 109.99
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Pulse Smart pen M100 White"",
      ""product_price"": 199.95
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC2.30 MD230 White"",
      ""product_price"": 599
    },
    ""quantity"": 3
  }
]",Online
1827003,2020-01-01,"[
  {
    ""product"": {
      ""product_name"": ""WWI 4GB Video Recording Pen X200 Pink"",
      ""product_price"": 296
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""Contoso SLR Camera 35 X358 Pink"",
      ""product_price"": 568
    },
    ""quantity"": 7
  }
]",In store
1828058,2020-01-02,"[
  {
    ""product"": {
      ""product_name"": ""WWI LCD24 X300 White"",
      ""product_price"": 819
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""WWI Wireless Transmitter and Bluetooth Headphones X250 Silver"",
      ""product_price"": 249.99
    },
    ""quantity"": 1
  }
]",In store
1834023,2020-01-08,"[
  {
    ""product"": {
      ""product_name"": ""Contoso DVD Recorder L200 Black"",
      ""product_price"": 219
    },
    ""quantity"": 1
  }
]",In store
1836002,2020-01-10,"[
  {
    ""product"": {
      ""product_name"": ""Proseware LCD19W M100 White"",
      ""product_price"": 179
    },
    ""quantity"": 1
  }
]",Online
1843003,2020-01-17,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Bluetooth Stereo Headphones E302 Silver"",
      ""product_price"": 40.55
    },
    ""quantity"": 5
  }
]",In store
1849000,2020-01-23,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 48 DVD Storage Binder M50 Black"",
      ""product_price"": 17.99
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 4.3GPM M1250 Grey"",
      ""product_price"": 877.5
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso In front of Centrex L15 Grey"",
      ""product_price"": 46.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Original K1m Li-Ion Standard Battery E170 Silver"",
      ""product_price"": 4.06
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Smart phones 6-LINE SCREEN M21 Black"",
      ""product_price"": 230
    },
    ""quantity"": 5
  }
]",In store
1850011,2020-01-24,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Touch Screen Phones Infrared M901 Black"",
      ""product_price"": 300
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""SV 22xDVD M600 Silver"",
      ""product_price"": 129.9
    },
    ""quantity"": 10
  }
]",In store
1862001,2020-02-05,"[
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.60 E1600 Black"",
      ""product_price"": 219.95
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD Movies E100 Yellow"",
      ""product_price"": 12.99
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Touch Screen Phones  - LCD M12 Black"",
      ""product_price"": 200
    },
    ""quantity"": 2
  }
]",In store
1864024,2020-02-07,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Mini Battery Charger Kit E320 White"",
      ""product_price"": 24.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White"",
      ""product_price"": 190
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD Player M130 Grey"",
      ""product_price"": 59.99
    },
    ""quantity"": 1
  }
]",In store
1883038,2020-02-26,"[
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Pulse Smart pen M100 White"",
      ""product_price"": 199.95
    },
    ""quantity"": 3
  }
]",Online
1885000,2020-02-28,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC2.30 MD230 Black"",
      ""product_price"": 599
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Headphone Adapter for Contoso Phone E130 White"",
      ""product_price"": 9.99
    },
    ""quantity"": 2
  }
]",In store
1885025,2020-02-28,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Phone Tough Skin Case E140 White"",
      ""product_price"": 23.72
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC2.33 XD233 Brown"",
      ""product_price"": 969
    },
    ""quantity"": 10
  }
]",In store
1893028,2020-03-07,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Digital Cameras Lightweight Tripod E316 White"",
      ""product_price"": 52.13
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works LCD24 X300 Black"",
      ""product_price"": 819
    },
    ""quantity"": 3
  }
]",In store
1947015,2020-04-30,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA GPS Phone 3.5 inch M910 Black"",
      ""product_price"": 268
    },
    ""quantity"": 9
  }
]",In store
1983004,2020-06-05,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED182 White"",
      ""product_price"": 499.9
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC3.0 M0300 Silver"",
      ""product_price"": 349
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 38 DVD Storage Binder E25 Black"",
      ""product_price"": 9.99
    },
    ""quantity"": 1
  }
]",In store
2144004,2020-11-13,"[
  {
    ""product"": {
      ""product_name"": ""Fabrikam Laptop10.1 M0101 Silver"",
      ""product_price"": 384.9
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED180 Brown"",
      ""product_price"": 369
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA Wifi 3.5-inch M200 Silver"",
      ""product_price"": 280
    },
    ""quantity"": 3
  }
]",In store
2152009,2020-11-21,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Hybrid system M60 Grey"",
      ""product_price"": 28.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 60 DVD Storage Binder L20 Black"",
      ""product_price"": 22.89
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Litware Home Theater System 7.1 Channel X711 Silver"",
      ""product_price"": 1109
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 60 DVD Storage Binder L20 Red"",
      ""product_price"": 22.89
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 1GB Digital Voice Recorder Pen E100 White"",
      ""product_price"": 156
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Touch Stylus Pen E150 Silver"",
      ""product_price"": 9.99
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD External DVD Burner M200 Blue"",
      ""product_price"": 57.88
    },
    ""quantity"": 3
  }
]",Online
2165005,2020-12-04,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Pen Touch Screen Phones M320 Black"",
      ""product_price"": 290
    },
    ""quantity"": 1
  }
]",In store
2175000,2020-12-14,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Smart phones without camera E100 Grey"",
      ""product_price"": 129
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA Phone Unlocked 3.7 inches M510 White"",
      ""product_price"": 238
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Laptop10.1 M0101 Silver"",
      ""product_price"": 384.9
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 14-Inch Player Portable L100 White"",
      ""product_price"": 259.99
    },
    ""quantity"": 4
  }
]",In store
2192014,2020-12-31,"[
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1801 Black"",
      ""product_price"": 269.9
    },
    ""quantity"": 10
  }
]",In store
